id,amnt_water,date,sponsor,altitude,installer,longitude,latitude,name,basin,village,region,region_id,district_id,lga,ward,demand,meeting,recorder,op_mgmnt,op_name,permit,year,e_type,e_type_grp,e_type_class,mgmnt,mgmnt_grp,fee,fee_type,w_quality,quality_grp,w_quantity,quantity_grp,source,source_type,source_class,type,type_grp,status
23699,500,16/3/2011,Dhv,301,DWE,36.01546372,-9.02428499,Kwa Kivambiro 2,Rufiji,Madukani,Morogoro,5,4,Ulanga,Ngoheranga,500,TRUE,GeoData Consultants Ltd,,,TRUE,1977,swn 80,swn 80,handpump,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,non-functional
65214,0,27/7/2011,,0,,33.54280265,-9.17616851,Kwa Mzee Mwalupanga,Lake Nyasa,Mpandapanda,Mbeya,12,4,Rungwe,Kiwira,0,TRUE,GeoData Consultants Ltd,VWC,K,,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
48528,0,41427,Government Of Tanzania,1076,DWE,30.90475149,-5.10070113,Kwa Mama Hidaya,Lake Tanganyika,Kagwila,Kigoma,16,3,Kigoma Rural,Mganza,1050,TRUE,GeoData Consultants Ltd,VWC,,TRUE,2010,other,other,other,vwc,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,non-functional
60081,0,20/7/2011,Aar,0,FOLAC,30.50097589,-2.88428666,Bazompola,Lake Victoria,Mulubumba,Kagera,18,30,Ngara,Bukiriro,0,TRUE,GeoData Consultants Ltd,VWC,,FALSE,0,india mark iii,india mark iii,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
28142,0,15/4/2011,Kkkt,0,KKKT,33.08991901,-9.05755222,Kanyera,Lake Rukwa,Shomora Kati,Mbeya,12,6,Mbozi,Mlangali,0,TRUE,GeoData Consultants Ltd,VWC,,FALSE,0,nira/tanira,nira/tanira,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,non-functional
15975,0,22/1/2013,Fw,314,FW,38.79987731,-10.55441685,Misheni,Ruvuma / Southern Coast,Misheni,Mtwara,90,33,Masasi,Lukulendi,350,TRUE,GeoData Consultants Ltd,VWC,,TRUE,1977,other,other,other,vwc,user-group,never pay,never pay,soft,good,dry,dry,shallow well,shallow well,groundwater,other,other,non-functional
31973,0,40763,Swedish,0,Sengerema Water Department,32.17655344,-2.4013652,Kwa Salehe,Lake Victoria,Mizulo,Mwanza,19,5,Sengerema,Bupandwamhela,0,TRUE,GeoData Consultants Ltd,VWC,HESAWA,TRUE,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,non-functional
51121,0,41253,Rural Water Supply And Sanitat,0,DWE,31.79891932,-3.39329247,Kazibizo Centre,Lake Tanganyika,Kazibizo Centre,Shinyanga,17,5,Bukombe,Ushirombo,0,,GeoData Consultants Ltd,WUG,,TRUE,0,other,other,other,wug,user-group,unknown,unknown,soft,good,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,non-functional
71279,0,24/2/2013,Government Of Tanzania,1220,District council,37.64146005,-3.21083997,Kwa Aretus R Mramba,Pangani,Mokoro,Kilimanjaro,3,1,Rombo,Shimbi,1,TRUE,GeoData Consultants Ltd,Company,Marua msahatie water supply,TRUE,1977,gravity,gravity,gravity,company,commercial,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,non-functional
13734,200,27/3/2011,Dhv,284,DWE,36.8938688,-7.85364993,Tazararoad,Rufiji,Tazara,Morogoro,5,3,Kilombero,Mang'ula,300,TRUE,GeoData Consultants Ltd,WUA,Mwaya Mn,TRUE,1998,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,functional
29258,0,28/1/2013,Wateraid,1547,SEMA,34.88114596,-4.27221556,Mifugo,Internal,Shule,Singida,13,1,Iramba,Mwanga,258,TRUE,GeoData Consultants Ltd,VWC,,TRUE,1999,afridev,afridev,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,functional
47697,0,26/10/2012,World Vision,0,DWE,32.79728977,-4.26321777,Kimwangoko B,Lake Tanganyika,Kimwangoko B,Tabora,14,1,Nzega,Mogwa,0,FALSE,GeoData Consultants Ltd,VWC,,FALSE,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,non-functional
66242,0,24/3/2011,Lvia,0,LVIA,36.23490716,-6.17159079,Nghambe,Wami / Ruvu,Bwawani B,Dodoma,1,4,Chamwino,Manchali,0,TRUE,GeoData Consultants Ltd,VWC,Chal,TRUE,0,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,broken
11505,0,22/10/2012,Watu Wa Ujerumani,1355,MTN,34.09613424,-1.20778497,Kwa Amuchi Okaro,Lake Victoria,Mabatini,Mara,20,6,Rorya,Mkoma,150,TRUE,GeoData Consultants Ltd,Private operator,Mradi wa maji shirati,FALSE,1993,submersible,submersible,submersible,vwc,user-group,unknown,unknown,soft,good,enough,enough,lake,river/lake,surface,communal standpipe multiple,communal standpipe,non-functional
46540,0,31/3/2011,,0,,34.7083733,-8.32765822,Kwa Nesi,Rufiji,Igubike,Mbeya,12,7,Mbarali,Madibira,0,TRUE,GeoData Consultants Ltd,VWC,,FALSE,0,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,seasonal,seasonal,river,river/lake,surface,communal standpipe,communal standpipe,functional
62386,0,41335,Government Of Tanzania,1247,Government,34.8590358,-10.75244982,Kwa Mzee Sikitiko,Lake Nyasa,Igunga,Ruvuma,10,3,Mbinga,Matiri,40,TRUE,GeoData Consultants Ltd,VWC,Government,TRUE,2005,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional
2507,0,25/2/2011,Kuamu,1691,Kuamu,35.24637769,-8.11161432,none,Rufiji,Mahanzi,Iringa,11,1,Iringa Rural,Wasa,769,TRUE,GeoData Consultants Ltd,VWC,Wasa,TRUE,2004,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
66682,300,40850,Danida,760,Danid,35.47403093,-7.52190307,none,Rufiji,Motomoto,Iringa,11,1,Iringa Rural,Ilolo Mpya,1,TRUE,GeoData Consultants Ltd,VWC,Ilolo,TRUE,1985,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe,non-functional
24377,0,40577,Mkinga Distric Coun,0,DWE,39.09126059,-4.9549518,Mtimbwani Secondary,Pangani,Mtimbwani A,Tanga,4,8,Mkinga,Mtimbwani,200,TRUE,GeoData Consultants Ltd,VWC,Borehole,TRUE,2009,afridev,afridev,handpump,vwc,user-group,unknown,unknown,soft,good,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump,non-functional
52547,0,31/3/2011,,0,,34.47418926,-8.5825774,Kwa Mzee Mwanyusi,Rufiji,Mkutano,Mbeya,12,7,Mbarali,Mawindi,0,TRUE,GeoData Consultants Ltd,VWC,,FALSE,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,non-functional
61409,0,25/1/2013,Fw,411,FW,38.65462045,-10.73093386,Kanisani,Ruvuma / Southern Coast,Maputo,Mtwara,90,33,Masasi,Namajani,1,TRUE,GeoData Consultants Ltd,VWC,FW,TRUE,1975,other,other,other,vwc,user-group,unknown,unknown,salty,salty,dry,dry,shallow well,shallow well,groundwater,other,other,non-functional
73683,0,13/4/2011,,0,,33.84427658,-9.23308818,Kyusi,Lake Nyasa,Lupaso,Mbeya,12,4,Rungwe,Lwangwa,0,TRUE,GeoData Consultants Ltd,VWC,D,,0,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
57658,0,41519,Norad,1393,RWE,30.9172868,-2.95599811,Kwa Pascali,Lake Tanganyika,Mapambano,Kigoma,16,1,Kibondo,Nyamtukuza,350,TRUE,GeoData Consultants Ltd,VWC,Kinyinya gravity water supply,FALSE,1988,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,enough,enough,spring,spring,groundwater,communal standpipe multiple,communal standpipe,broken
39038,0,40613,Rc,2223,RC,34.34134915,-9.28111675,Kwa Mzee Romu,Lake Nyasa,Tindisu,Iringa,11,4,Njombe,Igosi,50,TRUE,GeoData Consultants Ltd,VWC,Morongo,TRUE,2008,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
25,0,41580,Government Of Tanzania,1348,DWE,30.6133054,-3.89456056,Mkuyuni,Lake Tanganyika,Nyabwai B,Kigoma,16,1,Kibondo,Rugongowe,230,TRUE,GeoData Consultants Ltd,VWC,,FALSE,2002,nira/tanira,nira/tanira,handpump,vwc,user-group,unknown,unknown,soft,good,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump,non-functional
40419,25,41489,Government Of Tanzania,997,DWE,35.77714667,-3.99777178,Msikitini,Internal,Msikitini,Manyara,21,1,Babati,Magugu,355,TRUE,GeoData Consultants Ltd,Water Board,,TRUE,1984,gravity,gravity,gravity,water board,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,functional
63820,0,14/7/2011,Tasaf,0,VTECOS,31.53098872,-1.40196247,Shule Ya Msingi Kaibanja,Lake Victoria,Kaibanja,Kagera,18,2,Bukoba Rural,Kaibanja,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,non-functional
16238,0,40819,Koica,0,GOVER,35.96800985,-6.43050073,Mataji,Wami / Ruvu,Isangha,Dodoma,1,4,Chamwino,Idifu,0,TRUE,GeoData Consultants Ltd,VWC,Idif,TRUE,0,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional
69525,0,41223,Dwe,0,DWE,32.071081,-5.06726885,Kitega Uchumi,Lake Tanganyika,Kitega Uchumi,Tabora,14,4,Urambo,Urambo,0,FALSE,GeoData Consultants Ltd,VWC,,TRUE,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,dry,dry,machine dbh,borehole,groundwater,hand pump,hand pump,non-functional
3373,0,13/3/2011,Rished,-22,Rished,38.97298336,-5.42151954,Kwa Mwana Athumani,Pangani,Kumba,Tanga,4,5,Pangani,Pangani Mashariki,200,FALSE,GeoData Consultants Ltd,VWC,,FALSE,0,other,other,other,vwc,user-group,never pay,never pay,salty,salty,insufficient,insufficient,shallow well,shallow well,groundwater,other,other,non-functional
51850,250,41488,Norad,1057,NORAD,29.87474167,-4.61613911,Kwa Mustapher,Lake Tanganyika,Janda Mbele,Kigoma,16,2,Kasulu,Munzenze,350,TRUE,GeoData Consultants Ltd,Water authority,Kabali,TRUE,1986,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,functional
52520,10,18/3/2013,Germany,1685,Dmdd,35.88015611,-3.25083059,Kwa Gabriel,Internal,Qanqali,Arusha,24,30,Karatu,Mbulumbulu,200,TRUE,GeoData Consultants Ltd,VWC,Vyama vya watumia maji,TRUE,2009,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
57152,0,13/7/2011,Hewasa,0,VTECOS,31.47897822,-1.41374164,Ruhoko Center,Lake Victoria,Ruhoko 'A',Kagera,18,2,Bukoba Rural,Katoro,0,TRUE,GeoData Consultants Ltd,VWC,KATORO PUMPING SCHEME,TRUE,0,submersible,submersible,submersible,vwc,user-group,never pay,never pay,unknown,unknown,dry,dry,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,non-functional
19670,200,25/3/2011,Government Of Tanzania,2104,Commu,34.0478983,-9.33739922,none,Lake Nyasa,Ihomeke,Iringa,11,3,Makete,Bulongwa,0,TRUE,GeoData Consultants Ltd,WUA,Bulong,FALSE,1990,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,non-functional
21430,500,28/3/2011,Unicef,1435,DWE,34.67952236,-8.83884996,Kwa Msemwa,Rufiji,Chalufilili,Iringa,11,4,Njombe,Wanging'ombe,85,TRUE,GeoData Consultants Ltd,WUA,wanging'ombe supply scheme,TRUE,1978,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,dry,dry,river,river/lake,surface,communal standpipe multiple,communal standpipe,non-functional
52438,1200,40577,Roman,2304,Commu,34.29130163,-9.29138706,none,Lake Nyasa,Kidihani,Iringa,11,3,Makete,Mang'oto,0,TRUE,GeoData Consultants Ltd,VWC,Mang`o,FALSE,2002,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
72474,300,31/3/2011,Dhv,262,DWE,36.94933741,-7.70517682,Mkala,Rufiji,Kidatu A,Morogoro,5,3,Kilombero,Kidatu,75,TRUE,GeoData Consultants Ltd,Company,Ikela Wa,TRUE,1995,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
34967,0,21/7/2011,Unicef,0,DWE,33.01375689,-2.62211087,Kwa Kachungwa,Lake Victoria,Fumagila Magharib,Mwanza,19,3,Magu,Magu Urban,0,TRUE,GeoData Consultants Ltd,VWC,None,TRUE,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
17497,0,40582,,0,,33.58118589,-9.24906627,Kwa Mzee Kiambiki,Lake Nyasa,Busango,Mbeya,12,4,Rungwe,Lufingo,0,TRUE,GeoData Consultants Ltd,VWC,S,,0,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
25513,0,17/8/2011,Cspd,0,Government,0,-0.00000002,Kashishi Primary,Lake Tanganyika,Mwamba,Mwanza,19,6,Geita,Nyakamwaga,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,broken
55650,0,27/7/2011,Rwssp,0,DWE,0,-0.00000002,Ukweli,Lake Victoria,Nding'Ho A,Shinyanga,17,1,Bariadi,Mwaswale,0,TRUE,GeoData Consultants Ltd,WUG,,FALSE,0,nira/tanira,nira/tanira,handpump,wug,user-group,pay when scheme fails,on failure,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
19595,5000,40666,,-17,,39.66683436,-7.90658417,Kigamboni Government Quotas,Rufiji,Kigamboni,Pwani,60,60,Mafia,Kilindoni,6,TRUE,GeoData Consultants Ltd,VWC,,FALSE,0,submersible,submersible,submersible,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional
18953,0,41039,Lake Tanganyika Basin,0,DWE,31.63733996,-3.36720659,Umoja Ni Nguvu,Lake Tanganyika,Kasozi A,Shinyanga,17,5,Bukombe,Runzewe,0,TRUE,GeoData Consultants Ltd,WUG,,TRUE,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
64874,0,28/7/2011,Danida,0,Central government,33.90386886,-9.43120256,Rc Church,Lake Nyasa,Mpunguti,Mbeya,12,3,Kyela,Ipinda,0,TRUE,GeoData Consultants Ltd,VWC,Ngamanga water supply schem,TRUE,0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe,non-functional
57033,0,18/1/2013,Hesawa,1331,Hesawa,34.30867958,-1.88533645,Juma Mwisolo,Lake Victoria,Bungoma,Mara,20,2,Serengeti,Rigicha,100,TRUE,GeoData Consultants Ltd,VWC,,,1993,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,non-functional
56523,0,40731,Jica,0,DWE,31.24288328,-1.56261472,Kwa Zakaria,Lake Victoria,Rwamyonga,Kagera,18,1,Karagwe,Ndama,0,TRUE,GeoData Consultants Ltd,,,TRUE,0,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,salty,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
15199,7,41344,Germany Republi,1270,CES,37.22583108,-3.23270119,Kwa Justine Masawe,Pangani,Ikola,Kilimanjaro,3,5,Hai,Machame Kaskazini,1,TRUE,GeoData Consultants Ltd,Water Board,Machame water supply,TRUE,2008,gravity,gravity,gravity,water board,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,non-functional
64117,0,17/2/2013,Lamp,1395,DWE,35.67766216,-4.32258401,Kisima Cha Homamu,Internal,Homamu,Manyara,21,1,Babati,Duru,250,TRUE,GeoData Consultants Ltd,VWC,,TRUE,1993,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump,functional
2823,0,41427,Oxfarm,1720,OXFARM,29.77480262,-4.44813188,Nyamachukiro,Lake Tanganyika,Mawasiliano,Kigoma,16,2,Kasulu,Muhinda,610,TRUE,GeoData Consultants Ltd,Water authority,,FALSE,1996,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,improved spring,improved spring,functional
51714,0,23/2/2011,Government Of Tanzania,1982,Commu,34.18544377,-9.34594887,none,Lake Nyasa,Ipenza,Iringa,11,3,Makete,Lupalilo,0,FALSE,GeoData Consultants Ltd,VWC,Lupali,FALSE,1985,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
72060,0,17/10/2012,Halmashauri Ya Wilaya Sikonge,0,Halmashauri ya wilaya sikonge,33.27034191,-6.80534287,Kwa Rajabu Haruna,Lake Rukwa,Kapumpa,Tabora,14,5,Sikonge,Kitunda,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
24665,0,40732,Un,0,UN,31.65495431,-1.82425429,Nyarwondo,Lake Victoria,Omundangala,Kagera,18,3,Muleba,Muleba,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,improved spring,improved spring,functional
37710,0,22/2/2011,,-16,,39.81441906,-7.81498555,Sharaza,Rufiji,Sharaza,Pwani,60,63,Mafia,Kirongwe,300,TRUE,GeoData Consultants Ltd,VWC,,FALSE,0,afridev,afridev,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,functional
72755,100,19/2/2011,Government Of Tanzania,1900,Gover,35.89836062,-8.10785921,none,Rufiji,Makanyagio,Iringa,11,7,Kilolo,Dabaga,500,TRUE,GeoData Consultants Ltd,VWC,Kidaba,TRUE,1975,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,non-functional
51243,0,27/2/2013,Danida,1467,DANIDA,34.94859915,-10.97568609,Kwa Mzee Julai,Lake Nyasa,Luwaita Juu,Ruvuma,10,3,Mbinga,Myangayanga,50,,GeoData Consultants Ltd,VWC,DANIDA,TRUE,1993,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,non-functional
39972,500,24/3/2013,Government Of Tanzania,1864,DWE,36.63948691,-3.23080341,Kwa Meliyoki,Pangani,Shaudo,Arusha,2,2,Arusha Rural,Olkokola,150,TRUE,GeoData Consultants Ltd,VWC,Olkokola pipe line,TRUE,1990,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional
45754,0,22/10/2012,Hsw,1452,HSW,33.99523827,-1.72902152,Kwa Mzee Masima,Lake Victoria,Kitabaga,Mara,20,3,Musoma Rural,Muriaza,250,,GeoData Consultants Ltd,VWC,,TRUE,1991,nira/tanira,nira/tanira,handpump,vwc,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,non-functional
67948,0,24/2/2011,Rc Ch,2190,RC Ch,34.57934673,-9.60060081,none,Lake Nyasa,Lukungu,Iringa,11,4,Njombe,Matola,25,FALSE,GeoData Consultants Ltd,VWC,Magang,FALSE,2000,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,non-functional
49919,0,14/3/2013,,1033,,35.94945745,-3.20190445,Njia Ya Mbaashi,Internal,Shuleni,Arusha,2,1,Monduli,Selela,1,FALSE,GeoData Consultants Ltd,VWC,S,,2000,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,broken
17088,0,40850,Water,0,Commu,36.32262329,-6.03050007,Kwa Charles,Wami / Ruvu,,Dodoma,1,3,Kongwa,Sejeli,0,TRUE,GeoData Consultants Ltd,VWC,Seje,TRUE,0,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,salty,salty,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional
21315,10,41366,Private Individual,1513,Dmdd,35.67657721,-3.33984698,Bondeni,Internal,Kati,Arusha,24,30,Karatu,Karatu,2000,TRUE,GeoData Consultants Ltd,VWC,Kaviwaso,TRUE,2002,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,functional
73635,0,29/3/2011,,0,,32.99192317,-9.31049974,Kwa Kanyi Mbwala,Lake Nyasa,Nambunda,Mbeya,12,5,Ileje,Mbebe,0,TRUE,GeoData Consultants Ltd,VWC,,FALSE,0,nira/tanira,nira/tanira,handpump,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,non-functional
60479,0,29/7/2011,Danida,0,Central government,33.9540832,-9.49687675,Kwa Mateso Mwamalala,Lake Nyasa,Kaposo,Mbeya,12,3,Kyela,Lusungo,0,TRUE,GeoData Consultants Ltd,VWC,Ngamanga water supplied sch,TRUE,0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
49021,0,25/8/2011,Dwe,1526,DWE,31.82471655,-8.39088026,Kwa Deus Kasiwa,Lake Rukwa,Manuwankala,Rukwa,15,2,Sumbawanga Rural,Mpui,230,TRUE,GeoData Consultants Ltd,VWC,,FALSE,1992,other,other,other,vwc,user-group,never pay,never pay,soft,good,dry,dry,shallow well,shallow well,groundwater,other,other,non-functional
32543,0,24/7/2011,Wsdp,0,DWE,0,-0.00000002,Tusongembele,Lake Victoria,Mwabadimu,Shinyanga,17,1,Bariadi,Mwaswale,0,TRUE,GeoData Consultants Ltd,WUG,,FALSE,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
39915,10,19/3/2013,Government/ Community,965,RWE/ Community,36.92693499,-3.46538763,Elisante,Pangani,Nazareti,Arusha,2,7,Meru,Maroroni,159,TRUE,GeoData Consultants Ltd,Water Board,Tuvaila gravity water supply,TRUE,1968,gravity,gravity,gravity,water board,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional
67293,0,23/2/2011,W.B,228,DWE,38.88922327,-7.73645359,Ngigo,Rufiji,Kimbuga,Pwani,60,53,Rufiji,Kibiti,1,TRUE,GeoData Consultants Ltd,VWC,,TRUE,2005,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,non-functional
52333,0,15/10/2012,World Vision,0,World vision,32.19511383,-3.75538313,Ujamaa,Lake Tanganyika,Budoda Centre,Shinyanga,17,5,Bukombe,Masumbwe,0,TRUE,GeoData Consultants Ltd,WUG,,TRUE,0,other,other,other,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,non-functional
35972,0,41339,Rotary Club,1376,Rotary club,36.88465372,-3.31792199,Ngongongare Secschool,Pangani,Arauyo,Arusha,2,7,Meru,Maji ya Chai,368,TRUE,GeoData Consultants Ltd,WUA,,FALSE,2012,gravity,gravity,gravity,wua,user-group,unknown,unknown,soft,good,insufficient,insufficient,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,functional
860,0,41366,Care International,1377,Care international,34.42304359,-1.78049956,Tonte Wambura,Lake Victoria,Kisang'Ang'A,Mara,20,2,Serengeti,Nyamatare,20,FALSE,GeoData Consultants Ltd,Other,L,,2011,gravity,gravity,gravity,other,other,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
52436,0,41610,Netherlands,0,DWE,33.52877101,-3.23259007,Mama Mlezi A,Lake Victoria,Muhida,Shinyanga,17,2,Maswa,Badi,0,TRUE,GeoData Consultants Ltd,WUG,,FALSE,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,unknown,unknown,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump,functional
11283,1000,18/3/2011,Government Of Tanzania,2188,Commu,33.91981643,-8.96308788,none,Rufiji,Nkivo,Iringa,11,3,Makete,Matamba,0,FALSE,GeoData Consultants Ltd,VWC,Kinyik,FALSE,1974,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
14798,0,15/3/2011,Water,0,DWE,35.83500317,-4.7319679,Bara-Stendi[Msikitini],Internal,Bara-Stendi,Dodoma,1,1,Kondoa,Kolo,0,TRUE,GeoData Consultants Ltd,VWC,Kolo,FALSE,0,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional
